#{"t_start": 1763674313.4397767, "env_id": "None"}
r,l,t
-7338.607575,1,1.058562
-6514.05442,1,1.059065
-6232.485124,1,1.059587
-8357.480817,1,1.060091
-9905.278512,1,1.060588
-11989.723128,1,1.061042
-9555.002291,1,1.061514
-9239.689074,1,1.061972
-10282.473925,1,1.062439
-6726.800308,1,1.062927
-4423.974323,1,1.063393
-9791.650918,1,1.063866
-7295.813709,1,1.064334
-7792.329033,1,1.064789
-8545.934897,1,1.065255
-9083.306966,1,1.065734
-5730.920691,1,1.066243
-9932.699291,1,1.066745
-9754.527791,1,1.06726
-10725.767514,1,1.067754
-7312.296732,1,1.068262
-9601.128196,1,1.068764
-10406.948181,1,1.069315
-9617.300177,1,1.069822
-8625.294305,1,1.070339
-7927.835808,1,1.070828
-7843.266473,1,1.071342
-5823.940589,1,1.071847
-6848.046242,1,1.072359
-5475.235961,1,1.072864
-7161.771297,1,1.073358
-7259.323915,1,1.073864
-6870.239799,1,1.074378
-7509.681437,1,1.074882
-5626.957607,1,1.075397
-8326.800703,1,1.075905
-9537.320713,1,1.076414
-5255.129507,1,1.076911
-4881.935511,1,1.077436
-7853.084897,1,1.077948
-9229.555974,1,1.078465
-8563.120024,1,1.078969
-7982.931579,1,1.079438
-5583.200921,1,1.079894
-8419.067052,1,1.080379
-7024.883668,1,1.08092
-7526.370816,1,1.081477
-11217.93005,1,1.082021
-8747.68031,1,1.082577
-7726.201004,1,1.083106
-9063.768303,1,1.083641
-6229.230865,1,1.084135
-6400.352718,1,1.08464
-9123.280961,1,1.08514
-9073.907855,1,1.08566
-6351.708698,1,1.086156
-5076.621651,1,1.086676
-8439.882281,1,1.087175
-8620.298413,1,1.087701
-5765.483215,1,1.088275
-7096.067541,1,1.088852
-8832.679713,1,1.089374
-7744.293537,1,1.089884
-8141.403997,1,1.090395
-10513.486106,1,1.090894
-7243.200388,1,1.091415
-7482.253866,1,1.091922
-7561.191242,1,1.092448
-6992.294702,1,1.092981
-6282.039547,1,1.093482
-8924.896735,1,1.093937
-5486.195969,1,1.0944
-5750.129226,1,1.094855
-8349.789488,1,1.095342
-5010.487274,1,1.095796
-6863.826587,1,1.096254
-8300.938713,1,1.096729
-6017.416812,1,1.097212
-10922.368281,1,1.09769
-7091.219983,1,1.098162
-8578.337364,1,1.098646
-6061.11356,1,1.099118
-5566.222179,1,1.099602
-6752.825795,1,1.100075
-7199.101623,1,1.100568
-6884.947503,1,1.101133
-7765.685082,1,1.101622
-8077.099759,1,1.102092
-6728.218116,1,1.102578
-7569.801359,1,1.103052
-4074.659587,1,1.103538
-7619.35114,1,1.104012
-10244.503854,1,1.104497
-8166.073897,1,1.10497
-8353.941395,1,1.105454
-7478.560009,1,1.105926
-7759.72867,1,1.106441
-8506.205311,1,1.106922
-6190.02922,1,1.10741
-6205.706352,1,1.107886
-7336.105214,1,1.108375
-5813.003387,1,1.108849
-6587.931669,1,1.109334
-5407.787605,1,1.109803
-9015.499256,1,1.110288
-7459.855776,1,1.11077
-8125.372201,1,1.111271
-8889.840856,1,1.11175
-7524.43369,1,1.112235
-4513.452817,1,1.112716
-5811.185561,1,1.113206
-8525.57381,1,1.113701
-11328.52089,1,1.1142
-6870.693848,1,1.114685
-5802.768741,1,1.115227
-11240.562902,1,1.115774
-6372.770139,1,1.116313
-8073.279438,1,1.116842
-6833.528134,1,1.117384
-7078.009814,1,1.117931
-8279.980921,1,1.118473
-7411.149721,1,1.119013
-6410.967172,1,1.119549
-6347.299326,1,1.120081
-7798.813104,1,1.120634
-9426.480594,1,1.121159
-5290.129987,1,1.121648
-6237.940856,1,1.122111
-6356.985558,1,1.122586
-9051.051361,1,1.123048
-9231.156625,1,1.12356
-7769.686278,1,1.124074
-8181.870331,1,1.124595
-9506.067418,1,1.125099
-7066.784687,1,1.125607
-8916.058276,1,1.126103
-6928.858705,1,1.12662
-9548.557834,1,1.127122
-8590.760015,1,1.127711
-8248.556283,1,1.128284
-5900.492057,1,1.128869
-4981.264719,1,1.12954
-7884.834901,1,1.130064
-5580.878512,1,1.130554
-8448.492621,1,1.131038
-8976.11431,1,1.131506
-9387.577877,1,1.131967
-8097.456959,1,1.13244
-5593.901803,1,1.132896
-5187.78115,1,1.133379
-8340.206309,1,1.133839
-6882.752248,1,1.134308
-6762.600868,1,1.134765
-5255.428467,1,1.135291
-5142.706916,1,1.135816
-7855.463332,1,1.136338
-8958.07813,1,1.136841
-9048.790066,1,1.137358
-8797.807505,1,1.137864
-9110.090354,1,1.138374
-8664.70364,1,1.138873
-7515.762071,1,1.139392
-5183.700842,1,1.139901
-11799.460093,1,1.140416
-6197.488105,1,1.140913
-11176.177618,1,1.141422
-6853.920894,1,1.141926
-5692.391739,1,1.142443
-10777.589368,1,1.142948
-6803.61764,1,1.143471
-8145.684019,1,1.143969
-7999.335344,1,1.144481
-5723.51917,1,1.144979
-7196.113266,1,1.145495
-5995.406234,1,1.146
-10006.926514,1,1.146506
-6353.513887,1,1.146986
-6481.978937,1,1.147453
-6632.205882,1,1.147918
-8150.987759,1,1.148392
-10531.264429,1,1.14885
-6772.323583,1,1.149328
-8312.112815,1,1.149831
-10741.239485,1,1.150343
-5513.962235,1,1.150856
-7429.328769,1,1.151332
-7148.121269,1,1.151789
-8295.655999,1,1.152253
-9440.572438,1,1.152708
-6409.648573,1,1.15316
-6919.259283,1,1.153627
-8764.846455,1,1.15408
-11577.848504,1,1.154549
-11265.500775,1,1.155009
-6555.556278,1,1.155478
-7819.265685,1,1.155938
-6869.481858,1,1.156411
-6607.924093,1,1.156873
-4789.083617,1,1.157343
-8558.536116,1,1.157802
-8295.854516,1,1.158272
-7695.529377,1,1.158733
-5282.549512,1,1.159216
-12032.900683,1,1.159687
-7888.485623,1,1.160154
-9125.842445,1,1.16062
-9650.004627,1,1.161077
-9842.713364,1,1.161546
-7238.853492,1,1.162006
-7029.578643,1,1.162473
-6352.076827,1,1.162935
-7882.471601,1,1.163441
-7454.433983,1,1.163974
-8814.04244,1,1.164457
-7682.099326,1,1.164913
-4759.505269,1,1.16538
-7455.2424,1,1.165839
-10185.215331,1,1.166306
-4667.698148,1,1.166769
-7306.710167,1,1.167277
-5242.626921,1,1.16777
-7530.764475,1,1.168278
-7221.21253,1,1.168775
-6312.61706,1,1.169289
-6791.200424,1,1.16978
-7040.134072,1,1.170287
-6691.860503,1,1.170796
-7008.111608,1,1.171314
-7080.974422,1,1.171816
-6260.625098,1,1.172323
-8552.354554,1,1.17282
-12585.254175,1,1.173335
-8081.184271,1,1.173839
-6865.303885,1,1.174357
